POST_ID,TEXTO,LIKES
3337645189579190,"Hoy en la sección #CienciaEnConfinamiento la docente e investigadora, Licda. Laura Chavarría, nos compartirá los hallazgos principales de la reciente investigación sobre los efectos en la salud mental ocasionados por la crisis sanitaria de COVID-19",91
267071587875339,Conoce la experiencia de nuestra pasante Yaquelin Ortiz en el programa AMITY,62
3334786539865055,"En el 2005 inició nuestro viaje hacia una educación virtual, hoy tenemos capacidad tecnológica, docentes especializados y profesionales de Elearning que te garantizan una formación académica de calidad. #SomosUGB",64
711285856350383,"SAT, JUL 4 AT 9:00 AM UTC-06
X Congreso Latinoamericano de Informática y Comunicaciones",93
574273693497272,Conoce la experiencia de nuestra pasante Patricia Bado en el programa de becas AMITY,72
290896662283889,Conoce la experiencia de nuestra pasante Gabriela Méndez en el programa de becas AMITY,79
3329511033725939,¡Hola! Hoy nuestros docentes de la Facultad de Ciencias Empresariales de #UGBUsulután tienen un mensaje para todos ustedes.,128
1588580197970362,"Conoce la experiencia de nuestra pasante Catherine Araya, en Amity Interns Conversations",83
1690235981144054,Conoce la experiencia de nuestros pasantes en Amity Interns Conversations,76
3327014037308972,La pandemia coloca a las personas de edad en una situación de mayor riesgo de pobreza y aislamiento. Hoy la ONU celebra el Día Mundial de Toma de Conciencia del Abuso y Maltrato en la Vejez y nos recuerda que debemos cuidar de la salud de las personas mayores en todo momento.,107
3319488648061511,"La Facultad de Ciencia y Tecnología de #UGBUsulután te invita a participar en el sábado de trasformación digital. Aprenderás sobre Inteligencia Artificial, Big data y Visualización de Datos. Información y registro: https://bit.ly/3eNOrXn",49
3318924714784571,La crisis puede empujar a millones de niños vulnerables al trabajo infantil. La ONU celebra cada 12 de junio el día mundial contra el trabajo infantil para concientizar sobre los riesgos que enfrentan los niños a nivel mundial que se ven obligados a trabajar.,68
545671892792257,Webinar: Automatización de la red emergente,125
